NOVfilename,NOVtrial,NOVround,NOVdate,NOVsex,NOVcolor,NOVtime,NOVpart,fishID,NOVvid_length,NOVfamiliar_object,NOVnovel_object,NOVfamiliar_side,NOVnovel_side,NOVprop_left_alley,NOVprop_right_alley,NOVprop_upper_left_corner,NOVprop_upper_right_corner,NOVprop_left_interaction,NOVprop_right_interaction,NOVprop_lower_left_corner,NOVprop_lower_right_corner,NOVprop_sum_alley,NOVprop_sum_left,NOVprop_sum_right,NOVprop_sum_corner,NOVprop_familiar_alley,NOVprop_novel_alley,NOVprop_familiar_interaction,NOVprop_novel_interaction,NOVprop_sum_familiar,NOVprop_sum_novel,NOVprop_sum_interaction,NOVprop_familiar_interaction_and_corner,NOVprop_familiar_interaction_and_corner_of_interaction_and_corner_time,NOVlatency_to_enter_a_interaction,NOVlatency_to_enter_a_corner,NOVtime_of_first_right_interaction_entry,NOVtime_of_first_left_interaction_entry,NOVfirst_choice_left_or_right,NOVfirst_choice_familiar_or_novel,NOVprop_familiar_interaction_and_corner_following_first_familiar_entry,NOVdid_fish_enter_both_interaction_zones
NOV1_round1_0508_harry_female_black_12pm_tank3_part1_2019-09-11T184958_907.csv,NOV1,round1,0508,female,black,12pm,combined_now,round1femaleblack,687.242,cap,weigh,R,L,0.022444786552626356,0.02272998448872447,0.6525183268775774,0,0.05784425282506011,0,0.24406249909056787,0,0.04517477104135082,0.9768698653458316,0.02272998448872447,0.8965808259681454,0.02272998448872447,0.022444786552626356,0,0.05784425282506011,0.02272998448872447,0.9768698653458316,0.05784425282506011,0,0,5.300000000000011,5.550999999999988,2e3,172.401,L,novel,NA,0
NOV1_round1_0508_harry_female_blue_1pm_tank1_2019-09-18T181158_177.csv,NOV1,round1,0508,female,blue,1pm,combined_originally,round1femaleblue,690.5509999999999,cap,weigh,R,L,0.04083550671854792,0,0.9541076618526366,0,0.0046585987132015064,0,0,0,0.04083550671854792,0.9996017672843861,0,0.9541076618526366,0,0.04083550671854792,0,0.0046585987132015064,0,0.9996017672843861,0.0046585987132015064,0,0,4.753999999999991,5.024000000000001,2e3,161.28,L,novel,NA,0
NOV1_round1_0508_harry_female_green_1pm_tank1_2019-09-18T184858_917.csv,NOV1,round1,0508,female,green,1pm,combined_originally,round1femalegreen,732.323,cap,weigh,R,L,0,0.0021179179132704935,0,0.06600366231840309,0,0.029280795495976557,0,0.9025976242723499,0.0021179179132704935,0,1,0.968601286590753,0.0021179179132704935,0,0.029280795495976557,0,1,0,0.029280795495976557,0.9978820820867296,1.0000000000000002,1.5509999999999877,2.0999999999999943,147.754,2e3,R,familiar,1,0
NOV1_round1_0508_harry_female_orange_12pm_tank2_2019-09-18T192441_667.csv,NOV1,round1,0508,female,orange,12pm,combined_originally,round1femaleorange,733.296,cap,weigh,R,L,0,0.004670692326154763,0,0.20782739848574092,0,0.10057057450197486,0,0.6865890445331762,0.004670692326154763,0,0.9996577098470466,0.8944164430189171,0.004670692326154763,0,0.10057057450197486,0,0.9996577098470466,0,0.10057057450197486,0.9949870175208919,1,3.6759999999999877,3.9550000000000125,165.938,2e3,R,familiar,1,0
NOV1_round1_0508_harry_female_purple_12pm_tank3_2019-09-19T140743_674.csv,NOV1,round1,0508,female,purple,12pm,combined_originally,round1femalepurple,727.886,cap,weigh,R,L,0.007966906905751735,0,0.9770499776063833,0,0.014161558265992193,0,0,0,0.007966906905751735,0.9991784427781273,0,0.9770499776063833,0,0.007966906905751735,0,0.014161558265992193,0,0.9991784427781273,0.014161558265992193,0,0,6.39700000000002,6.748000000000019,2e3,172.305,L,novel,NA,0
NOV1_round1_0508_harry_female_yellow_12pm_tank2_part1_2019-09-19T152623_955.csv,NOV1,round1,0508,female,yellow,12pm,combined_now,round1femaleyellow,691.4200000000001,cap,weigh,R,L,0,0.005064938821555652,0,0.024406294292904456,0,0.008068901680599356,0,0.9624598652049405,0.005064938821555652,0,1,0.986866159497845,0.005064938821555652,0,0.008068901680599356,0,1,0,0.008068901680599356,0.9949350611784442,0.9999999999999999,3.5020000000000095,3.7520000000000095,167.255,2e3,R,familiar,1,0
NOV1_round1_0508_harry_male_black_12pm_tank4_part1_2019-09-19T154639_022.csv,NOV1,round1,0508,male,black,12pm,combined_now,round1maleblack,709.5459999999999,cap,weigh,R,L,0,0.0031019835218576695,0,0.12609471408478098,0,0.02598281154428321,0,0.8412858362953212,0.0031019835218576695,0,0.9964653454462431,0.9673805503801022,0.0031019835218576695,0,0.02598281154428321,0,0.9964653454462431,0,0.02598281154428321,0.9933633619243853,1,4.709000000000003,11.211999999999989,181.967,2e3,R,familiar,0.9999999999999999,0
NOV1_round1_0508_harry_male_blue_12pm_tank3_2019-09-23T151648_401.csv,NOV1,round1,0508,male,blue,12pm,combined_originally,round1maleblue,391.18000000000006,cap,weigh,R,L,0.062066056546858275,0.03451096681834449,0.6946086200726007,0,0.04169436065238509,0.004087632292039589,0.13304872437241164,0.02928830717316834,0.09657702336520277,0.9314177616442557,0.06788690628355243,0.8569456516181807,0.03451096681834449,0.062066056546858275,0.004087632292039589,0.04169436065238509,0.06788690628355243,0.9314177616442557,0.04578199294442468,0.03337593946520793,0.03697232456127941,12.174000000000007,19.501000000000005,518.534,152.584,L,novel,1,1
NOV1_round1_0508_harry_male_green_12pm_tank2_2019-09-23T152744_459.csv,NOV1,round1,0508,male,green,12pm,combined_originally,round1malegreen,710.031,cap,weigh,R,L,0.04447693128891549,0,0.16563502156948076,0,0.7630821752853045,0,0.026805871856299214,0,0.04447693128891549,1,0,0.19244089342577997,0,0.04447693128891549,0,0.7630821752853045,0,1,0.7630821752853045,0,0,17.203000000000003,17.45599999999999,2e3,153.578,L,novel,NA,0
NOV1_round1_0508_harry_male_orange_12pm_tank3_part1_2019-09-23T155031_060.csv,NOV1,round1,0508,male,orange,12pm,combined_now,round1maleorange,711.673,cap,weigh,R,L,0.059532959659843745,0.031501827384206,0.4401572070318811,0.23472296967848996,0.0648823265741431,0.02484427539052325,0.12152912924896682,0.02282930503194595,0.09103478704404976,0.6861016225148348,0.3138983774851652,0.8192386109912839,0.031501827384206,0.059532959659843745,0.02484427539052325,0.0648823265741431,0.3138983774851652,0.6861016225148348,0.08972660196466634,0.28239655010095915,0.310679161397835,1.4199999999999875,1.7249999999999943,2e3,176.051,L,novel,0.29707996180328683,0
