SPAfilename,SPAtrial,SPAround,SPAdate,SPAtank,SPAsex,SPAcolor,SPAtime,SPApart,fishID,SPAreward_side,SPAvid_length,SPAprop_right_platform,SPAprop_left_platform,SPAprop_right_corner,SPAprop_left_corner,SPAprop_right_wall,SPAprop_left_wall,SPAprop_neutral_zone,SPAprop_sum_platform,SPAprop_sum_corner,SPAprop_sum_corner_and_platform,SPAprop_sum_wall,SPAnumber_of_entries_total,SPAprop_correct_of_platform_time,SPAprop_correct_including_corners_of_total,SPAprop_correct_including_corners_of_corner_and_platform_time,SPAlatency_to_enter_a_wall,SPAlatency_to_enter_a_corner,SPAlatency_to_enter_a_platform,SPAlatency_to_enter_correct_platform,SPAlatency_to_enter_correct_corner,SPAfirst_choice_correct_or_incorrect_corner,SPAprop_correct_including_corners_following_first_correct_corner_entry
SPA4_round2_0508_cooper_female_blue_7pm_tank1_2019-09-24T153357_000.csv,SPA4,round2,0508,tank1,female,blue,7pm,combined_originally,round2femaleblue,L,730.3309999999999,0,0,0,0.36746351996560483,0,0.0723055710355988,0.08718649489067273,0,0.36746351996560483,0.36746351996560483,0.0723055710355988,11,NaN,0.36746351996560483,1,409.15399999999994,432.329,NA,NA,432.329,correct,0.9005644257421096
SPA4_round2_0508_cooper_female_green_7pm_tank4_part1_2019-09-24T152035_362.csv,SPA4,round2,0508,tank4,female,green,7pm,combined_now,round2femalegreen,L,709.916,0,0,0.9965488874740109,0,0.0011621093199758684,0,0.0019016334326878428,0,0.9965488874740109,0.9965488874740109,0.0011621093199758684,5,NaN,0,0,1.625,2.4499999999999886,57.28999999999999,57.28999999999999,50.763000000000005,incorrect,NA
SPA4_round2_0508_cooper_female_orange_7pm_tank2_part1_2019-09-24T145401_027.csv,SPA4,round2,0508,tank2,female,orange,7pm,combined_now,round2femaleorange,L,723.2589999999999,0,0.138525756333485,0,0.3758252576186401,0,0,0.485648986047875,0.138525756333485,0.3758252576186401,0.5143510139521251,0,8,NaN,0.5143510139521251,1,NA,685.5409999999999,NA,NA,685.5409999999999,correct,0.5149205698870111
SPA4_round2_0508_cooper_female_pink_7pm_tank4_part1_datestamp.csv,SPA4,round2,0508,tank4,female,pink,7pm,combined_now,round2femalepink,L,704.565,0,0.3757992520207503,0,0.57523436446601806,0,0.011283557940005557,0.004683741031700386,0.3757992520207503,0.57523436446601806,0.9510336164867683,0.011283557940005557,9,NaN,0.9510336164867683,1,26.549999999999983,34.5,52.37499999999997,52.37499999999997,34.5,correct,1
SPA4_round2_0508_cooper_female_purple_7pm_tank1_2019-10-16T181311_542.csv,SPA4,round2,0508,tank1,female,purple,7pm,combined_originally,round2femalepurple,L,735.966,0,0.9368544199052673,0,0.04833239579002291,0,0.0018329651098012924,7.187832046589059e-4,0.9368544199052673,0.04833239579002291,0.9851868156952902,0.0018329651098012924,9,1,0.9851868156952902,1,9.552999999999997,10.902000000000015,22.231000000000023,22.231000000000023,10.902000000000015,correct,1
SPA4_round2_0508_cooper_female_white_7pm_tank3_part1_2019-09-25T152118_947.csv,SPA4,round2,0508,tank3,female,white,7pm,combined_now,round2femalewhite,L,714.52,0.987684039635,0,0.008852096512343975,0,0,0,0.0034638638526563203,0.987684039635,0.008852096512343975,0.9965361361473439,0,7,0,0,0,NA,NA,410.855,NA,NA,incorrect,NA
SPA4_round2_0508_cooper_female_yellow_7pm_tank3_part1_2019-09-25T151303_878.csv,SPA4,round2,0508,tank3,female,yellow,7pm,combined_now,round2femaleyellow,L,719.5440000000001,0,0,0.966680286403611,0,0.004968424446593977,0,0.0019109324794592127,0,0.966680286403611,0.966680286403611,0.004968424446593977,6,NaN,0,0,20.400000000000006,23.975000000000023,57.28999999999999,57.28999999999999,50.763000000000005,incorrect,NA
SPA4_round2_0508_cooper_male_black_7pm_tank2_2019-09-25T152832_932.csv,SPA4,round2,0508,tank2,male,black,7pm,combined_originally,round2maleblack,L,677.73,0.9719283490475557,0,0.0032461304649344385,0,0.008963746624762056,0,0.002065719386776495,0.9719283490475557,0.0032461304649344385,0.9751744795124901,0.008963746624762056,9,0,0,0,53.17500000000001,0.575000000000017,0.8500000000000227,NA,NA,incorrect,NA
SPA4_round2_0508_cooper_male_blue_7pm_tank1_2019-09-25T184307_443.csv,SPA4,round2,0508,tank1,male,blue,7pm,combined_originally,round2maleblue,L,676.8309999999999,0,0.9250920835481827,0,0.020758505446706804,0,0.03656747400754399,0.008126105335009775,0.9250920835481827,0.020758505446706804,0.9458505889948895,0.03656747400754399,8,1,0.9458505889948895,1,11.899999999999977,21.799999999999983,50.69999999999999,50.69999999999999,21.799999999999983,correct,0.9773293172384209
SPA4_round2_0508_cooper_male_green_7pm_tank4_2019-09-25T153801_326.csv,SPA4,round2,0508,tank4,male,green,7pm,combined_originally,round2malegreen,L,656.2259999999999,0.9873900150253117,0,0.004800175549277197,0,0,0,0.0078098094254113685,0.9873900150253117,0.004800175549277197,0.9921901905745889,0,4,0,0,0,NA,5.125,8.274999999999977,NA,NA,incorrect,NA
